Date,Holiday
2/5/2010,0
2/12/2010,1
2/19/2010,0
2/26/2010,0
3/5/2010,0
3/12/2010,0
3/19/2010,0
3/26/2010,0
4/2/2010,0
4/9/2010,0
4/16/2010,0
4/23/2010,0
4/30/2010,0
5/7/2010,0
5/14/2010,0
5/21/2010,0
5/28/2010,0
6/4/2010,0
6/11/2010,0
6/18/2010,0
6/25/2010,0
7/2/2010,0
7/9/2010,0
7/16/2010,0
7/23/2010,0
7/30/2010,0
8/6/2010,0
8/13/2010,0
8/20/2010,0
8/27/2010,0
9/3/2010,0
9/10/2010,1
9/17/2010,0
9/24/2010,0
10/1/2010,0
10/8/2010,0
10/15/2010,0
10/22/2010,0
10/29/2010,0
11/5/2010,0
11/12/2010,0
11/19/2010,0
11/26/2010,1
12/3/2010,0
12/10/2010,0
12/17/2010,0
12/24/2010,0
12/31/2010,1
1/7/2011,0
1/14/2011,0
1/21/2011,0
1/28/2011,0
2/4/2011,0
2/11/2011,1
2/18/2011,0
2/25/2011,0
3/4/2011,0
3/11/2011,0
3/18/2011,0
3/25/2011,0
4/1/2011,0
4/8/2011,0
4/15/2011,0
4/22/2011,0
4/29/2011,0
5/6/2011,0
5/13/2011,0
5/20/2011,0
5/27/2011,0
6/3/2011,0
6/10/2011,0
6/17/2011,0
6/24/2011,0
7/1/2011,0
7/8/2011,0
7/15/2011,0
7/22/2011,0
7/29/2011,0
8/5/2011,0
8/12/2011,0
8/19/2011,0
8/26/2011,0
9/2/2011,0
9/9/2011,1
9/16/2011,0
9/23/2011,0
9/30/2011,0
10/7/2011,0
10/14/2011,0
10/21/2011,0
10/28/2011,0
11/4/2011,0
11/11/2011,0
11/18/2011,0
11/25/2011,1
12/2/2011,0
12/9/2011,0
12/16/2011,0
12/23/2011,0
12/30/2011,1
1/6/2012,0
1/13/2012,0
1/20/2012,0
1/27/2012,0
2/3/2012,0
2/10/2012,1
2/17/2012,0
2/24/2012,0
3/2/2012,0
3/9/2012,0
3/16/2012,0
3/23/2012,0
3/30/2012,0
4/6/2012,0
4/13/2012,0
4/20/2012,0
4/27/2012,0
5/4/2012,0
5/11/2012,0
5/18/2012,0
5/25/2012,0
6/1/2012,0
6/8/2012,0
6/15/2012,0
6/22/2012,0
6/29/2012,0
7/6/2012,0
7/13/2012,0
7/20/2012,0
7/27/2012,0
8/3/2012,0
8/10/2012,0
8/17/2012,0
8/24/2012,0
8/31/2012,0
9/7/2012,1
9/14/2012,0
9/21/2012,0
9/28/2012,0
10/5/2012,0
10/12/2012,0
10/19/2012,0
10/26/2012,0
