School,Conf,Coach,NCAAFBREV16 ,MedianConfSal,SchoolPay,TotalPay,BonusMax,PayPlusBonus,StadSize, Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Air Force,Mt. West,Troy Calhoun,59577780,879288,454.5454545,454.5454545,126.8618387,454.5454545,46692,83,60,97,65,67,10,3,3.333333333,4.96,-0.87,4.09,78.16
Akron,MAC,Terry Bowden,35331217,492413,211.0939908,211.8644068,115.5624037,237.5449409,30000,45,20,5,11,129,5,7,0.714285714,-0.4,-6.12,-6.52,72.64
Alabama,SEC,Nick Saban,174307419,3929800,4266.563945,4266.563945,564.9717514,4523.369286,101821,79,124,84,111,5,14,1,14,8.01,17.62,25.62,90.38
Appalachian State,Sun Belt,Scott Satterfield,35058621,675000,365.9476117,365.9476117,151.5151515,440.4211608,24050,57,11,13,20,122,10,3,3.333333333,-0.86,9.68,8.83,70.76
Arizona,Pac-12,Kevin Sumlin,90976758,2752233,821.777093,1027.221366,1040.061633,1027.221366,51811,74,73,60,66,62,3,9,0.333333333,1.01,-5.64,-4.63,74.42
Arizona State,Pac-12,Herm Edwards,101579860,2752233,1027.221366,1027.221366,1545.968156,1027.221366,71706,74,107,60,77,45,5,7,0.714285714,5.89,-8.49,-2.6,79.22
Arkansas,SEC,Chad Morris,129680808,3929800,1797.637391,1797.637391,513.6106831,1797.637391,72000,76,108,70,89,28,7,6,1.166666667,4.06,0.29,4.35,80.66
Arkansas State,Sun Belt,Blake Anderson,39459027,675000,423.7288136,423.7288136,95.01797637,436.5690806,30964,76,33,70,45,90,8,5,1.6,-3.46,2.9,-0.56,70.41
Army,Ind.,Jeff Monken,,716261,478.9527478,478.9527478,0,478.9527478,38000,76,47,70,52,82,8,5,1.6,-7.31,4.9,-2.41,74.12
Auburn,SEC,Gus Malzahn,147511034,3929800,3441.191577,3444.096559,719.0549563,3636.700565,87451,76,118,70,103,13,8,5,1.6,-1.04,13.02,11.97,81.8
Ball State,MAC,Mike Neu,26098565,492413,223.7745249,223.7745249,195.1720596,239.1828454,22500,71,8,40,19,124,4,8,0.5,-3.5,-5.61,-9.11,69.48
Baylor,Big 12,Matt Rhule,,3775000,0,0,0,0,45140,71,57,40,33,111,7,6,1.166666667,2.67,0.34,3.01,80.58
Boise State,Mt. West,Bryan Harsin,45486486,879288,847.4627632,847.4627632,243.9650745,921.9363123,37000,55,46,9,38,102,10,3,3.333333333,2.87,5.14,8.01,76.66
Boston College,ACC,Steve Addazio,,2458033,1291.658449,1291.658449,0,1291.658449,44500,90,55,117,82,38,7,6,1.166666667,-7,7.58,0.58,68.72
Bowling Green,MAC,Mike Jinks,25303291,492413,224.5649718,224.5649718,125.8346174,266.2958398,23724,90,9,117,46,88,,,,,,,
Brigham Young,Ind.,Kalani Sitake,,716261,0,0,0,0,63725,82,94,93,63,70,9,4,2.25,0.11,6.39,6.5,74.98
Buffalo,MAC,Lance Leipold,35892221,492413,233.9496662,233.9496662,195.6856703,233.9496662,29013,89,18,115,46,88,2,10,0.2,-11.82,-6.42,-18.24,60.55
California,Pac-12,Justin Wilcox,90976576,2752233,770.4160247,770.4160247,462.2496148,808.9368259,62717,81,92,89,78,44,5,7,0.714285714,12.42,-10,2.42,85.02
