School,Conf,Coach, NCAAFBREV16 ,MedianConfSal, SchoolPay , TotalPay , Bonus , BonusPaid , PayPlusBonus2016 , StadSize , Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Air Force,Mt. West,Troy Calhoun,59577780,879288,885000,885000,247000,,885000,46692,83,60,97,65,67,10,3,3.333333333,4.96,-0.87,4.09,78.16
Akron,MAC,Terry Bowden,35331217,492413,411000,412500,225000,50000,462500,30000,45,20,5,11,129,5,7,0.714285714,-0.4,-6.12,-6.52,72.64
Alabama,SEC,Nick Saban,174307419,3929800,8307000,8307000,1100000,500000,8807000,101821,79,124,84,111,5,14,1,14,8.01,17.62,25.62,90.38
Appalachian State,Sun Belt,Scott Satterfield,35058621,675000,712500,712500,295000,145000,857500,24050,57,11,13,20,122,10,3,3.333333333,-0.86,9.68,8.83,70.76
Arizona,Pac-12,Kevin Sumlin,90976758,2752233,1600000,2000000,2025000,,2000000,51811,74,73,60,66,62,3,9,0.333333333,1.01,-5.64,-4.63,74.42
Arizona State,Pac-12,Herm Edwards,101579860,2752233,2000000,2000000,3010000,,2000000,71706,74,107,60,77,45,5,7,0.714285714,5.89,-8.49,-2.6,79.22
Arkansas,SEC,Chad Morris,129680808,3929800,3500000,3500000,1000000,,3500000,72000,76,108,70,89,28,7,6,1.166666667,4.06,0.29,4.35,80.66
Arkansas State,Sun Belt,Blake Anderson,39459027,675000,825000,825000,185000,25000,850000,30964,76,33,70,45,90,8,5,1.6,-3.46,2.9,-0.56,70.41
Army,Ind.,Jeff Monken,,716261,932521,932521,,,932521,38000,76,47,70,52,82,8,5,1.6,-7.31,4.9,-2.41,74.12
Auburn,SEC,Gus Malzahn,147511034,3929800,6700000,6705656,1400000,375000,7080656,87451,76,118,70,103,13,8,5,1.6,-1.04,13.02,11.97,81.8
Ball State,MAC,Mike Neu,26098565,492413,435689,435689,380000,30000,465689,22500,71,8,40,19,124,4,8,0.5,-3.5,-5.61,-9.11,69.48
Baylor,Big 12,Matt Rhule,,3775000,,,,,,45140,71,57,40,33,111,7,6,1.166666667,2.67,0.34,3.01,80.58
Boise State,Mt. West,Bryan Harsin,45486486,879288,1650010,1650010,475000,145000,1795010,37000,55,46,9,38,102,10,3,3.333333333,2.87,5.14,8.01,76.66
Boston College,ACC,Steve Addazio,,2458033,2514859,2514859,,,2514859,44500,90,55,117,82,38,7,6,1.166666667,-7,7.58,0.58,68.72
Bowling Green,MAC,Mike Jinks,25303291,492413,437228,437228,245000,81250,518478,23724,90,9,117,46,88,,,,,,,
Brigham Young,Ind.,Kalani Sitake,,716261,,,,,,63725,82,94,93,63,70,9,4,2.25,0.11,6.39,6.5,74.98
Buffalo,MAC,Lance Leipold,35892221,492413,455500,455500,381000,,455500,29013,89,18,115,46,88,2,10,0.2,-11.82,-6.42,-18.24,60.55
California,Pac-12,Justin Wilcox,90976576,2752233,1500000,1500000,900000,75000,1575000,62717,81,92,89,78,44,5,7,0.714285714,12.42,-10,2.42,85.02
